Turn, Time 
1,5.43247
2,21.3141
3,22.9196
4,22.826
5,12.8606
6,6.48664
7,8.68122
8,2.76941
9,14.9453
10,0.242752
11,3.85161
12,1.20148
13,4.11713
14,0.918531
15,3.25133
16,0.533566
17,0.230686
18,0.195477
19,0.0738033
20,0.0747992
21,0.0638288
22,0.0718082
23,0.0538468
24,0.0408905
25,0.0418869
26,0.0418888
27,0.0279252
28,0.0299153
29,0.0319132
30,0.0309122
31,0.0319144
32,0.0289235
33,0.0339023
34,0.0309181
35,0.0359034
36,0.0339084
37,0.0319146
38,0.028922
39,0.030918
40,0.0319154
41,0.0339095
42,0.0309168
43,0.0309179
44,0.0299188
45,0.035904
46,0.0319147
